StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q3	Q4	Q5	Q5_9_TEXT	Q6	Q7	HUMS1	HUMS2	HUMS3	HUMS4	HUMS5	HUMS6	HUMS7	HUMS8	HUMS9	HUMS10	HUMS11	HUMS12	HUMS13	MAS1	MAS2	MAS3	MAS4	MAS5	MAS6	MAS7	MAS8	MAS9	MAS10	MAS11	MAS12	MAS13	MAS14	MAS15	MAS16	MAS17	MAS18	MAS19	MAS20	MAS21	MAS22	MAS23	MAS24	MAS25	MAS26	MAS27	MAS28	GOLD1-AE	GOLD2-AE	GOLD3-AE	GOLD4-AE	GOLD5-AE	GOLD6-AE	GOLD7-AE	GOLD8-AE	GOLD9-AE	GOLD1-MT	GOLD2-MT	GOLD3-MT	GOLD4-MT	GOLD5-MT	GOLD6-MT	GOLD7-MT
		IP Address		94	1607	True		SYN_0064							anonymous	EN	I consent to participate in this study	60	Female	High school	English		Advanced	Country B	Almost never	Never	Almost never	Never	Often	Almost never	Never	Never	Never	Almost never	Never	Never	Never	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Strongly disagree	Disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly agree	Strongly disagree	Neither agree nor disagree	Disagree	prefer not to say	Strongly agree	Strongly agree	2	Agree	Strongly agree	4 hrs or more	Strongly disagree	Strongly agree	2	1.5	Completely agree	1	1	6 or more	Completely disagree
		IP Address		100	531	True		SYN_0065							anonymous	EN	I consent to participate in this study	33	Female	Master's degree	English		Advanced	Country B	Sometimes	Never	Often	Never	Never	Never	Never	Almost never	Almost never	Never	Almost never	Never	Sometimes	Agree	Completely agree	Strongly disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Disagree	Agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Completely agree	Completely disagree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Completely disagree	Strongly disagree	Completely disagree	prefer not to say	Completely agree	prefer not to say	0	Strongly disagree	Completely agree	60-90 min	Neither agree nor disagree	Completely disagree	3	0.5	Strongly agree	1	1	6 or more	Completely disagree
		IP Address		95	808	True		SYN_0066							anonymous	EN	I consent to participate in this study	29	Prefer not to say	Master's degree	English		Native	Country B	Never	Always	Sometimes	Almost never	Almost never	Always	Never	Almost never	Almost never	Sometimes	Always	Sometimes	Never	Neither agree nor disagree	Strongly agree	Strongly agree	Completely disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Disagree	Completely disagree	Completely agree	Disagree	Neither agree nor disagree	Completely agree	Completely disagree	Agree	Strongly agree	Strongly agree	Neither agree nor disagree	Completely agree	Strongly disagree	Agree	Completely disagree	Agree	Completely disagree	Agree	Strongly disagree	Disagree	Disagree	prefer not to say	7-10	Strongly agree	prefer not to say	0-15 min	Strongly agree	Strongly agree	2	1.5	Completely disagree	7 or more	0.5	0	Disagree
		IP Address		98	1413	True		SYN_0067							anonymous	EN	I consent to participate in this study	28	Prefer not to say	Doctorate	English		Native	Country A	Always	Always	Almost never	Always	Almost never	Sometimes	Always	Often	Always	Often	Sometimes	Always	Often	Completely agree	Completely agree	Agree	Disagree	Strongly agree	Completely agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Agree	Strongly disagree	Strongly disagree	Agree	Agree	Completely agree	Disagree	Strongly disagree	Strongly agree	Strongly agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree		Completely agree	prefer not to say	Strongly agree	Strongly disagree	0	Strongly disagree	Agree	2 hrs	prefer not to say	prefer not to say	4-5	0	Strongly agree	0	2	3	Neither agree nor disagree
		IP Address		97	904	True		SYN_0068							anonymous	EN	I consent to participate in this study	36	Prefer not to say	Bachelor's degree	English		Intermediate	Country B	Sometimes	Always	Often	Often	Often	Never	Always	Always	Often	Sometimes	Always	Sometimes	Sometimes	Strongly disagree	Disagree	Strongly agree	Strongly disagree		Completely agree	Disagree	Neither agree nor disagree	Disagree	Completely agree	Strongly agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Agree	Neither agree nor disagree	Strongly agree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Completely agree	Agree	Strongly disagree	Agree	Completely disagree	7-10	prefer not to say	Strongly agree	15-30 min	Agree	prefer not to say	0	0	Completely disagree	3	2	1	Disagree
		IP Address		96	657	True		SYN_0069							anonymous	EN	I consent to participate in this study	24	Male	High school	Other		Elementary	Country A	Never	Never	Almost never	Never	Almost never	Never	Never	Never	Never	Almost never	Often	Never	Never	Disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Agree	Completely disagree	Completely disagree	Disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly agree	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Completely disagree	Disagree	Strongly disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Completely disagree	Agree	Neither agree nor disagree	Agree	Completely disagree	Neither agree nor disagree	1	Strongly disagree	Completely disagree	60-90 min	Neither agree nor disagree	Neither agree nor disagree	10 or more	0	Completely agree	3	0.5	2	Completely disagree
		IP Address		91	939	True		SYN_0070							anonymous	EN	I consent to participate in this study	29	Prefer not to say	High school	Other		Advanced	Country A	Often	Never	Never	Never	Often	Always	Often	Often	Never	Always	Often	Often	Sometimes	Strongly agree	Agree	Neither agree nor disagree	Completely disagree	Completely disagree	Strongly disagree	Completely agree	Completely agree	Agree	Agree	Neither agree nor disagree	Disagree	Agree	Strongly disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly agree	Strongly agree	Completely disagree	Strongly agree	Completely disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly disagree	4-6	Neither agree nor disagree	Disagree	prefer not to say	Strongly agree	Completely agree	3	3-4	Completely agree	0	1	5	Completely agree
		IP Address		91	1558	True		SYN_0071							anonymous	EN	I consent to participate in this study	47	Female	Doctorate	English		Intermediate	Country C	Often	Sometimes	Often	Never	Never	Sometimes	Often	Often	Often	Often	Sometimes	Always	Always	Neither agree nor disagree	Disagree	Strongly disagree	Strongly disagree	Completely agree	Agree	Agree	Strongly disagree	Disagree	Completely disagree	Disagree	Strongly agree	Strongly agree	Agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly disagree	Strongly agree	Disagree	Neither agree nor disagree	Strongly agree	Agree	Strongly agree	Neither agree nor disagree	Strongly disagree	Disagree	Completely agree	Strongly agree	Completely agree	Strongly disagree	7-10	Strongly disagree	prefer not to say	15-30 min	Completely agree	Completely disagree	6-9	0.5	Agree	2	1	5	Neither agree nor disagree
		IP Address		92	1047	True		SYN_0072							anonymous	EN	I consent to participate in this study	61	Female	Doctorate	English		Intermediate	Country C	Almost never	Never	Sometimes	Sometimes	Almost never	Always	Almost never	Never	Sometimes	Never	Sometimes	Never	Never	Completely disagree	Agree	Completely disagree	Completely disagree	Completely disagree	Disagree	Disagree	Completely disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly disagree	Disagree	Completely disagree	Completely disagree	Disagree	Completely disagree	Strongly disagree	Strongly disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Agree	Strongly disagree	Agree	11 or more	Completely agree	Disagree	2 hrs	Strongly disagree	Completely agree	6-9	3-4	prefer not to say	3	6-9	2	Completely disagree
		IP Address		91	1619	True		SYN_0073							anonymous	EN	I consent to participate in this study	33	Prefer not to say	High school	English		Advanced	Country C	Almost never	Sometimes	Sometimes	Sometimes	Always	Sometimes	Often	Always	Never	Often	Sometimes	Never	Often	Disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Agree	Neither agree nor disagree	Strongly agree	Completely disagree	Completely disagree	Neither agree nor disagree	Agree	Completely agree	Disagree	Strongly agree	Completely agree	Disagree	Neither agree nor disagree	Completely agree	Strongly agree	Neither agree nor disagree	Completely disagree	Strongly agree	Strongly agree	Completely agree	Completely disagree	Agree	Completely agree	Strongly agree	Disagree	Agree	11 or more	Completely disagree	Disagree	2 hrs	Strongly agree	prefer not to say	0	0	Neither agree nor disagree	2	1	1	prefer not to say
		IP Address		95	324	True		SYN_0074							anonymous	EN	I consent to participate in this study	42	Prefer not to say	High school	English		Native	Country A	Never	Never	Almost never	Never	Never	Never	Never	Almost never	Almost never	Never	Always	Sometimes		Neither agree nor disagree	Disagree	Completely agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Strongly agree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Disagree	11 or more	Disagree	Agree	30-60 min	Disagree	Disagree	10 or more	3-4	Strongly disagree	0.5	6-9	2	Strongly agree
		IP Address		93	1630	True		SYN_0075							anonymous	EN	I consent to participate in this study	24	Female	Master's degree	English		Advanced	Country B	Often	Always	Almost never	Often	Always	Always	Often	Always	Often	Almost never	Almost never	Often	Often	Strongly agree	Completely disagree	Disagree	Completely agree	Agree	Disagree	Disagree	Disagree	Strongly disagree	Strongly agree	Completely disagree	Agree	Completely agree	Completely agree	Completely agree	Completely agree	Strongly agree	Completely agree	Strongly agree	Agree	Completely agree	Strongly agree	Completely agree	Completely agree	Completely agree	Agree	Strongly agree	Strongly agree	Completely disagree	Completely agree	Disagree	3	Agree	Completely disagree	60-90 min	prefer not to say	Agree	0	5 or more	Strongly disagree	4-6	2	2	Completely disagree
		IP Address		94	514	True		SYN_0076							anonymous	EN	I consent to participate in this study	48	Female	Doctorate	Other		Advanced	Country C	Almost never	Never	Never	Never	Never	Sometimes	Almost never	Sometimes	Sometimes	Sometimes	Never	Sometimes	Almost never	Disagree	Strongly disagree	Disagree	Neither agree nor disagree	Disagree	Agree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Agree	Strongly disagree	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Neither agree nor disagree	Completely agree	4-6	prefer not to say	Agree	prefer not to say	Completely agree	Neither agree nor disagree	2	3-4	Completely agree	3	6-9	3	Neither agree nor disagree
		IP Address		91	753	True		SYN_0077							anonymous	EN	I consent to participate in this study	54	Male	Doctorate	Other		Native	Country B	Almost never	Always	Sometimes	Often	Always	Sometimes	Sometimes	Almost never	Always	Always	Always	Sometimes	Often	Neither agree nor disagree	Disagree	Disagree	Strongly agree	Strongly agree	Agree	Neither agree nor disagree	Strongly disagree	Completely agree	Strongly agree	Disagree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Completely agree	Disagree	Strongly disagree	Neither agree nor disagree	Completely agree	Disagree	Agree		Completely agree	Agree	Completely agree	Agree	Strongly disagree	Completely agree	Strongly agree	11 or more	Completely agree	Completely agree	4 hrs or more	Completely disagree	Strongly disagree	10 or more	1	Completely agree	7 or more	3-5	2	Strongly agree
		IP Address		100	1057	True		SYN_0078							anonymous	EN	I consent to participate in this study	54	Female	Master's degree	Other		Native	Country A	Often	Almost never	Never	Often	Always	Always	Always	Sometimes	Sometimes	Almost never	Never	Never	Sometimes	Disagree	Agree	Disagree	Completely disagree		Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Strongly agree	Completely disagree	Completely disagree	Completely disagree	Disagree	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Disagree	Strongly disagree	Strongly disagree	Disagree	Completely disagree		Neither agree nor disagree	Neither agree nor disagree	Disagree	Strongly disagree	Completely disagree	prefer not to say	prefer not to say	Completely agree	1	Strongly agree	Completely agree	15-30 min	Completely disagree	Completely disagree	10 or more	1	Neither agree nor disagree	0.5	1	6 or more	prefer not to say
		IP Address		99	430	True		SYN_0079							anonymous	EN	I consent to participate in this study	44	Prefer not to say	High school	Other		Native	Country B	Almost never	Often	Never	Never	Often	Never	Almost never	Almost never	Sometimes	Sometimes	Often	Never	Almost never	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Disagree	Agree	Completely disagree	Completely disagree	Strongly disagree	Disagree	Strongly disagree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Completely disagree	Completely disagree	Strongly agree	Completely disagree	Completely disagree	Completely disagree	Disagree	Strongly disagree	Agree	Strongly disagree	Completely agree	Disagree	Completely disagree	11 or more	Completely disagree	Strongly agree	60-90 min	Agree	Completely agree	10 or more	1	Neither agree nor disagree	2	3-5	4	Agree
		IP Address		94	709	True		SYN_0080							anonymous	EN	I consent to participate in this study	19	Female	Master's degree	Other		Advanced	Country C	Always	Often	Often	Often	Almost never	Sometimes	Almost never	Often	Sometimes	Never	Almost never	Often	Often	Strongly agree	Neither agree nor disagree	Disagree	Completely disagree	Agree	Completely agree	Disagree	Agree	Disagree	Agree	Disagree	Completely agree	Strongly disagree	Disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Strongly disagree	Neither agree nor disagree	Completely disagree	Agree	Completely disagree	Agree	Disagree	Completely disagree	Strongly agree	Completely disagree	prefer not to say	0	Strongly disagree	Completely disagree	2-3 hrs	prefer not to say	Agree	3	1	Strongly agree	4-6	6-9	5	Completely agree
		IP Address		92	1653	True		SYN_0081							anonymous	EN	I consent to participate in this study	58	Female	Doctorate	English		Advanced	Country B	Sometimes	Often	Always	Often	Always	Never	Always	Often	Sometimes	Never	Always	Never	Always	Neither agree nor disagree	Strongly agree	Disagree	Disagree	Agree	Disagree	Neither agree nor disagree	Agree	Completely agree	Neither agree nor disagree	Completely disagree	Completely agree	Completely agree	Disagree	Strongly disagree	Completely agree	Agree	Neither agree nor disagree	Agree	Strongly agree	Strongly agree	Completely agree	Completely agree	Strongly agree	Neither agree nor disagree	Completely agree	Neither agree nor disagree	Agree	Agree	Completely disagree	Completely agree	1	Strongly agree	Completely disagree	30-60 min	Neither agree nor disagree	Strongly agree	1	5 or more	Completely agree	7 or more	6-9	4	Strongly agree
		IP Address		100	211	True		SYN_0082							anonymous	EN	I consent to participate in this study	25	Female	Bachelor's degree	English		Native	Country C	Never	Never	Never	Never	Almost never	Never	Never	Never	Never	Often	Never	Almost never	Never	Disagree	Agree	Neither agree nor disagree	Strongly disagree	Completely disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Strongly disagree	Disagree	Disagree	Agree	Completely disagree	Completely disagree	Completely disagree	Strongly agree	Agree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Completely disagree	Completely disagree	Disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Strongly agree	3	Neither agree nor disagree	Strongly disagree	15-30 min	Agree	Agree	4-5	0.5	Disagree	4-6	6-9	4	Disagree
		IP Address		92	565	True		SYN_0083							anonymous	EN	I consent to participate in this study	59	Male	Doctorate	Other		Intermediate	Country A	Often	Always	Always	Often	Always	Often	Often	Almost never	Almost never	Sometimes	Never	Always	Often	Disagree	Strongly disagree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	Completely agree		Completely disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Completely agree	Strongly disagree	Completely agree	Completely agree	Disagree	Strongly agree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Agree	Completely agree	prefer not to say	Completely disagree	2	Disagree	Disagree	30-60 min	Completely disagree	Completely agree	2	0.5	Completely disagree	0	3-5	3	Completely disagree
		IP Address		94	1097	True		SYN_0084							anonymous	EN	I consent to participate in this study	25	Prefer not to say	Doctorate	English		Advanced	Country C	Always		Often	Sometimes	Never	Often	Always	Sometimes	Often	Often	Almost never	Almost never	Sometimes	Neither agree nor disagree	Completely disagree	Agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Strongly agree	Completely disagree	Agree	Agree		Agree	Strongly agree	Completely agree	Agree	Strongly disagree	Agree	Strongly disagree	Completely agree	Strongly agree	Neither agree nor disagree	Agree	Completely agree	Neither agree nor disagree	Completely agree	Agree	Strongly agree	Strongly agree	Completely disagree	2	Strongly agree	Disagree	15-30 min	Completely agree	Strongly agree	4-5	2	Disagree	3	1	4	Disagree
		IP Address		93	1178	True		SYN_0085							anonymous	EN	I consent to participate in this study	44	Male	Bachelor's degree	English		Native	Country A	Almost never	Often	Sometimes	Almost never	Always	Almost never	Never	Almost never	Always	Almost never	Often	Almost never	Never	Neither agree nor disagree	Completely agree	Strongly disagree	Disagree	Completely disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Completely disagree	Completely agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Agree	Disagree	Strongly disagree	Completely disagree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	0	Strongly disagree	Strongly disagree	60-90 min	Neither agree nor disagree	Completely agree	2	0	Completely disagree	3	6-9	1	Disagree
		IP Address		96	1207	True		SYN_0086							anonymous	EN	I consent to participate in this study	26	Female	Doctorate	Other		Intermediate	Country B	Often	Always	Always	Never	Almost never	Sometimes	Always	Sometimes	Almost never	Almost never	Almost never	Always	Never	Strongly agree	Completely agree	Neither agree nor disagree	Strongly agree	Agree	Strongly disagree	Strongly agree	Strongly disagree	Completely agree	Agree	Completely agree	Agree	Strongly disagree	Completely agree	Agree	Strongly agree	Completely disagree	Disagree	Agree	Disagree	Completely agree	Completely agree	Completely agree	Completely agree	Agree	Agree	Completely disagree	Strongly disagree	Disagree	prefer not to say	Completely disagree	7-10	Agree	Strongly disagree	30-60 min	Strongly agree	Completely agree	4-5	0	Neither agree nor disagree	4-6	10 or more	2	Completely agree
		IP Address		93	1656	True		SYN_0087							anonymous	EN	I consent to participate in this study	38	Male	Bachelor's degree	Other		Native	Country B	Never	Almost never	Often	Never	Often	Always	Never	Often	Sometimes	Almost never	Almost never	Never	Never	Strongly disagree	Completely disagree	Neither agree nor disagree	Strongly agree	Completely disagree	Neither agree nor disagree	Disagree	Agree	Completely disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	Strongly disagree	Neither agree nor disagree	Agree	Agree	Strongly agree	Completely disagree	Neither agree nor disagree	Agree	Strongly agree		Disagree	Completely disagree	Disagree	Strongly disagree	7-10	Agree	Neither agree nor disagree	2-3 hrs	Disagree	Strongly agree	10 or more	5 or more	Completely disagree	4-6	3-5	5	Strongly agree
		IP Address		93	1765	True		SYN_0088							anonymous	EN	I consent to participate in this study	34	Female	Doctorate	Other		Native	Country B	Almost never	Never	Never	Never	Never	Often	Never	Almost never	Never	Never	Never	Never	Almost never	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Agree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Completely agree	Agree	Strongly agree	4-6	Completely agree	Completely agree	prefer not to say	Strongly agree	Strongly agree	3	1.5	Strongly disagree	4-6	6-9	5	Agree
		IP Address		99	1336	True		SYN_0089							anonymous	EN	I consent to participate in this study	50	Prefer not to say	High school	English		Native	Country C	Always	Often	Never	Almost never	Often	Sometimes	Never	Always	Never	Often	Often	Sometimes	Never	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Strongly agree	Agree	Completely agree	Neither agree nor disagree	Completely disagree	Strongly disagree	Completely disagree	Disagree	Completely disagree	Agree	Agree	Agree	Disagree	Agree	Completely disagree	Disagree	Agree	Strongly agree	Strongly agree	Completely disagree	Disagree	Completely disagree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Completely agree	0	Completely disagree	Strongly agree	0-15 min	Neither agree nor disagree	Strongly disagree	4-5	1	Strongly agree	1	0.5	2	Strongly agree
		IP Address		92	1134	True		SYN_0090							anonymous	EN	I consent to participate in this study	45	Female	Master's degree	English		Advanced	Country A	Often	Often	Sometimes	Sometimes	Always	Often	Always	Almost never	Always	Often	Almost never	Always	Always	Agree	Strongly agree	Strongly disagree	Strongly disagree	Completely agree	Completely agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Agree	Completely agree	Completely agree	Strongly disagree	Completely agree	Agree	Neither agree nor disagree	Strongly disagree	Disagree	Agree	Completely agree	Strongly disagree	Strongly agree	Completely disagree	Agree	Agree	Strongly agree	Neither agree nor disagree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	11 or more	Completely agree	prefer not to say	0-15 min	Completely agree	Neither agree nor disagree	3	5 or more	Strongly disagree	0	10 or more	2	Neither agree nor disagree
		IP Address		97	622	True		SYN_0091							anonymous	EN	I consent to participate in this study	51	Male	High school	Other		Intermediate	Country B	Always	Never	Often	Always	Almost never		Often	Often	Almost never	Almost never	Often	Always	Always	Completely agree	Agree	Agree	Strongly agree	Agree	Completely agree	Strongly agree	Completely agree	Disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly agree	Strongly agree	Completely agree	Completely agree	Strongly agree	Disagree	Neither agree nor disagree	Strongly disagree	Agree	Completely agree	Agree	Strongly disagree	Completely agree	Completely agree	Completely agree	Neither agree nor disagree	prefer not to say	Strongly disagree	4-6	Disagree	Strongly disagree	60-90 min	Strongly disagree	Disagree	0	5 or more	Strongly agree	0	3-5	4	Completely agree
		IP Address		93	1117	True		SYN_0092							anonymous	EN	I consent to participate in this study	47	Male	Bachelor's degree	Other		Native	Country B	Always	Always	Almost never	Often	Often	Always	Almost never	Often	Often	Never	Never	Sometimes	Always	Completely agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Completely agree	Agree	Strongly disagree	Strongly agree	Strongly disagree	Completely agree	Completely agree	Strongly agree	Strongly agree	Disagree	Agree	Strongly agree	Completely disagree	Completely agree	Disagree	Strongly agree	Completely agree	Disagree	Agree	Strongly agree	Completely agree	Strongly agree	Strongly disagree	Strongly agree	Strongly disagree	7-10	Neither agree nor disagree	Strongly agree	4 hrs or more	Disagree	Neither agree nor disagree	1	1	Agree	0.5	1	1	Strongly agree
		IP Address		93	468	True		SYN_0093							anonymous	EN	I consent to participate in this study	23	Female	Bachelor's degree	English		Intermediate	Country A	Always	Always	Always	Always	Sometimes	Never	Often	Sometimes	Sometimes	Often	Often	Never	Always	Completely disagree	Completely disagree	Completely agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Completely disagree	Completely agree	Agree	Completely disagree	Completely disagree	Strongly agree	Strongly agree	Completely agree	Strongly agree	Completely agree	Completely agree	Neither agree nor disagree	Strongly agree	Agree	Agree	Completely agree	Strongly agree	Strongly agree	Agree	Completely agree	Completely agree	Strongly agree	prefer not to say	Completely disagree	2	Agree	Strongly agree	15-30 min	Completely disagree	Strongly agree	10 or more	0.5	Completely disagree	2	6-9	1	Strongly agree
		IP Address		91	1442	True		SYN_0094							anonymous	EN	I consent to participate in this study	18	Prefer not to say	Master's degree	Other		Advanced	Country B	Sometimes	Never	Sometimes	Almost never	Sometimes	Often	Always	Often	Sometimes	Often	Always	Often	Almost never	Strongly agree	Agree	Strongly agree	Completely agree	Strongly agree	Neither agree nor disagree	Agree	Strongly disagree	Disagree	Completely agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Strongly agree	Completely agree	Completely agree	Strongly agree	Neither agree nor disagree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neither agree nor disagree	Strongly agree	Agree	Strongly disagree	Disagree	Disagree	Agree	4-6	Completely disagree	Completely agree	60-90 min	prefer not to say	prefer not to say	4-5	3-4	Completely agree	0.5	10 or more	0	Neither agree nor disagree
		IP Address		92	1703	True		SYN_0095							anonymous	EN	I consent to participate in this study	18	Female	High school	Other		Intermediate	Country C	Never	Never	Sometimes	Often	Sometimes	Often	Almost never	Sometimes	Almost never	Never	Almost never	Sometimes	Often	Strongly disagree	Disagree	Disagree	Completely disagree	Strongly disagree	Agree	Completely disagree	Completely disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Completely disagree	Completely disagree	Disagree	Completely disagree	Disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Disagree	Agree	Neither agree nor disagree	Strongly disagree	Completely agree	Agree	Agree	4-6	Disagree	Completely disagree	30-60 min	Disagree	Completely agree	10 or more	3-4	Neither agree nor disagree	7 or more	0	3	Strongly agree
		IP Address		96	1751	True		SYN_0096							anonymous	EN	I consent to participate in this study	57	Female	Bachelor's degree	English		Native	Country A	Never	Always	Always	Almost never	Never	Almost never	Never	Sometimes	Never	Almost never	Never	Never	Often	Completely disagree	Neither agree nor disagree	Disagree	Disagree	Disagree	Strongly disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Disagree	Strongly disagree	Neither agree nor disagree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Disagree	Neither agree nor disagree	Strongly agree	Strongly disagree	Disagree	Neither agree nor disagree	4-6	Disagree	prefer not to say	15-30 min	Strongly agree	Completely agree	3	1	Neither agree nor disagree	2	2	2	Neither agree nor disagree
		IP Address		91	412	True		SYN_0097							anonymous	EN	I consent to participate in this study	63	Male	Master's degree	Other		Intermediate	Country C	Often	Never	Never	Almost never	Never	Never	Never	Sometimes	Almost never	Sometimes	Almost never	Never	Never	Agree	Completely disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Agree	Completely agree	Agree	Strongly agree	Agree	Disagree	Strongly agree	Completely disagree	Completely disagree	Strongly disagree	Agree	Completely disagree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Completely disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	prefer not to say	Strongly disagree	1	Agree	Completely agree	0-15 min	Disagree	Agree	10 or more	3-4	Completely agree	3	3-5	4	Completely disagree
